,id,charge,chargingState,chargePercentage,chargeCompletionDate,chargeCompletedAt,chargeLimit,isPluggedIn,chargerVoltage,chargerCurrent,chargerWattage,range,latitude,longitude,createdAt
0,clz7er1gi00ra1075c4j81h54,,idle,44,,2024-07-29T19:54:26.770Z,80,False,2,0,0,121,,,2024-07-29T19:54:26.835Z
1,clz7erx7b00ro10750dlndqrv,,idle,44,,2024-07-29T19:55:07.740Z,80,False,2,0,0,121,,,2024-07-29T19:55:08.179Z
2,clz7eyf5q00sm1075qv5lp7v5,,idle,44,,2024-07-29T20:00:07.482Z,80,False,2,0,0,121,,,2024-07-29T20:00:07.488Z
3,clz7f4t7c00tc1075rabrcqr0,,idle,44,,2024-07-29T20:05:09.545Z,80,False,2,0,0,122,,,2024-07-29T20:05:09.547Z
4,clz7fb69k00tw10754ssqaugg,,idle,45,,2024-07-29T20:10:06.373Z,80,False,2,0,0,124,,,2024-07-29T20:10:06.376Z
5,clz7fugte00w61075v7hvfs2r,,idle,45,,2024-07-29T20:25:06.576Z,80,False,2,0,0,125,,,2024-07-29T20:25:06.577Z
6,clz7g0wb300x21075lhhozlbi,,idle,45,,2024-07-29T20:30:06.580Z,80,False,2,0,0,125,,,2024-07-29T20:30:06.582Z
7,clz7g7be600xq1075ih8yu8o1,,idle,45,,2024-07-29T20:35:05.930Z,80,False,2,0,0,125,,,2024-07-29T20:35:05.933Z
8,clz7gdrxj00y81075lm8xr7ib,,idle,45,,2024-07-29T20:40:07.092Z,80,False,2,0,0,125,,,2024-07-29T20:40:07.379Z
9,clz7gka6100za1075dnt7adkk,,idle,45,,2024-07-29T20:45:07.260Z,80,False,2,0,0,125,,,2024-07-29T20:45:07.261Z
10,clz7gqp7f01081075kb1q709c,,idle,45,,2024-07-29T20:50:10.372Z,80,False,2,0,0,125,,,2024-07-29T20:50:10.375Z
11,clz7gx29y010u1075edh6pqqp,,idle,45,,2024-07-29T20:55:06.002Z,80,False,2,0,0,125,,,2024-07-29T20:55:07.254Z
12,clz7hahsp012k1075qvdk46d7,,idle,45,,2024-07-29T21:05:33.870Z,80,False,2,0,0,125,,,2024-07-29T21:05:33.884Z
13,clz7hgh4501341075d1f407ti,,idle,45,,2024-07-29T21:10:12.922Z,80,False,2,0,0,125,,,2024-07-29T21:10:12.923Z
14,clz7hmyd401461075ah7xshkm,,idle,45,,2024-07-29T21:15:15.222Z,80,False,2,0,0,125,,,2024-07-29T21:15:15.223Z
